number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,car_parking_space,room_type,lead_time,market_segment_type,repeated,p-c,p-not-c,average_price,special_requests,date_of_reservation,booking_status,number_of_children_log,number_of_week_nights_log,car_parking_space_log,lead_time_log,repeated_log,p-c_log,p-not-c_log,special_requests_log,reservation_year,reservation_month,reservation_day,reservation_weekday,booking_status_flag
1,1,2,5,Meal Plan 1,0,Room_Type 1,224,Offline,0,0,0,88.0,0,2015-10-02,Not_Canceled,0.6931471805599453,1.791759469228055,0.0,5.41610040220442,0.0,0.0,0.0,0.0,2015.0,10.0,2.0,Friday,0
1,0,1,3,Not Selected,0,Room_Type 1,5,Online,0,0,0,106.68,1,2018-11-06,Not_Canceled,0.0,1.3862943611198906,0.0,1.791759469228055,0.0,0.0,0.0,0.6931471805599453,2018.0,11.0,6.0,Tuesday,0
2,1,1,3,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,50.0,0,2018-02-28,Canceled,0.6931471805599453,1.3862943611198906,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,2018.0,2.0,28.0,Wednesday,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,211,Online,0,0,0,100.0,1,2017-05-20,Canceled,0.0,1.0986122886681096,0.0,5.356586274672012,0.0,0.0,0.0,0.6931471805599453,2017.0,5.0,20.0,Saturday,1
1,0,1,2,Not Selected,0,Room_Type 1,48,Online,0,0,0,77.0,0,2018-04-11,Canceled,0.0,1.0986122886681096,0.0,3.8918202981106265,0.0,0.0,0.0,0.0,2018.0,4.0,11.0,Wednesday,1
1,1,1,4,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,107.55,1,2017-10-15,Not_Canceled,0.6931471805599453,1.6094379124341003,0.0,3.5553480614894135,0.0,0.0,0.0,0.6931471805599453,2017.0,10.0,15.0,Sunday,0
3,0,1,3,Meal Plan 1,0,Room_Type 4,83,Online,0,0,0,105.61,1,2018-12-26,Not_Canceled,0.0,1.3862943611198906,0.0,4.430816798843313,0.0,0.0,0.0,0.6931471805599453,2018.0,12.0,26.0,Wednesday,0
1,1,0,4,Meal Plan 1,0,Room_Type 1,121,Offline,0,0,0,96.9,1,2018-07-06,Not_Canceled,0.6931471805599453,1.6094379124341003,0.0,4.804021044733257,0.0,0.0,0.0,0.6931471805599453,2018.0,7.0,6.0,Friday,0
2,0,0,5,Meal Plan 1,0,Room_Type 4,44,Online,0,0,0,133.44,3,2018-10-18,Not_Canceled,0.0,1.791759469228055,0.0,3.8066624897703196,0.0,0.0,0.0,1.3862943611198906,2018.0,10.0,18.0,Thursday,0
1,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,85.03,0,2018-09-11,Not_Canceled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,9.0,11.0,Tuesday,0
